Position,Track,Artist,Streams,ADMIN
5,Dema Ga Ge Gi Go Gu,El Alfa,6313,Dominican Republic
6,Safari,J Balvin,6253,Dominican Republic
7,Soy Peor,Bad Bunny,6170,Dominican Republic
8,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Arcangel,6024,Dominican Republic
9,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,5352,Dominican Republic
10,Let Me Love You,DJ Snake,4568,Dominican Republic
1,Starboy,The Weeknd,1020,Luxembourg
1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,272020,United Kingdom
2,Starboy,The Weeknd,209873,United Kingdom
3,Say You Won't Let Go,James Arthur,194633,United Kingdom
4,Sexual,NEIKED,184896,United Kingdom
5,I Would Like,Zara Larsson,182520,United Kingdom
6,Touch,Little Mix,178228,United Kingdom
7,Closer,The Chainsmokers,175261,United Kingdom
8,One Dance,Drake,168014,United Kingdom
9,Don't Wanna Know,Maroon 5,166120,United Kingdom
10,Black Beatles,Rae Sremmurd,159432,United Kingdom
1,Chantaje,Shakira,8745,Paraguay
2,Otra Vez (feat. J Balvin),Zion & Lennox,8411,Paraguay
3,Safari,J Balvin,8209,Paraguay
4,Reggaetón Lento (Bailemos),CNCO,7618,Paraguay
5,Vente Pa' Ca,Ricky Martin,6873,Paraguay
6,Ay Mi Dios,IAmChino,5372,Paraguay
7,Vacaciones,Wisin,5223,Paraguay
8,Let Me Love You,DJ Snake,4959,Paraguay
9,Dile Que Tu Me Quieres,Ozuna,4879,Paraguay
10,Closer,The Chainsmokers,4149,Paraguay
1,Starboy,The Weeknd,107350,Australia
2,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,105111,Australia
3,Closer,The Chainsmokers,100617,Australia
